x,committed,heapTotal,heapUsed,external,rss
30.914,5341.184,5619.712,4920.172,0.28,25472
31.011,5341.184,5619.712,4947.876,0.326,26304
31.122,5341.184,5619.712,4975.532,0.373,26480
31.232,5586.944,5619.712,5003.308,0.42,26624
31.344,5586.944,5619.712,5030.984,0.466,26736
31.454,5586.944,5619.712,5058.66,0.513,26800
31.563,5586.944,5619.712,5086.336,0.559,26832
31.671,5586.944,5619.712,5114.012,0.606,26864
31.782,5586.944,5619.712,5141.688,0.653,26976
31.898,5586.944,5619.712,5169.364,0.7,26992
32.002,5586.944,5619.712,5197.172,0.745,27056
32.109,5341.184,5619.712,4766.468,0.792,27072
32.218,5341.184,5619.712,4794.16,0.278,27248
32.328,5341.184,5619.712,4821.852,0.324,27280
32.437,5341.184,5619.712,4849.524,0.371,27328
32.549,5341.184,5619.712,4877.216,0.418,27344
32.658,5341.184,5619.712,4904.908,0.465,27376
32.767,5341.184,5619.712,4932.58,0.512,27408
32.879,5341.184,5619.712,4960.272,0.558,27424
32.991,5341.184,5619.712,4987.944,0.605,27456
33.102,5586.944,5619.712,5015.62,0.652,27488
33.215,5586.944,5619.712,5043.312,0.698,27536
33.329,5586.944,5619.712,5071.004,0.745,27568
33.442,5586.944,5619.712,5098.676,0.792,27568
33.555,5586.944,5619.712,5126.368,0.839,27616
33.666,5586.944,5619.712,5154.06,0.886,27632
33.778,5586.944,5619.712,5181.752,0.932,27664
33.886,5586.944,5619.712,5209.444,0.979,27696
33.996,5341.184,5619.712,4787.196,0.277,27408
34.109,5341.184,5619.712,4814.868,0.324,27440
34.224,5341.184,5619.712,4842.54,0.371,27456
34.338,5341.184,5619.712,4870.212,0.417,27488
34.449,5341.184,5619.712,4897.904,0.464,27520
34.557,5341.184,5619.712,4925.576,0.511,27536
34.665,5341.184,5619.712,4953.268,0.558,27552
34.778,5341.184,5619.712,4980.94,0.605,27568
34.889,5341.184,5619.712,5008.632,0.651,27584
35.002,5586.944,5619.712,5036.396,0.698,27600
35.113,5586.944,5619.712,5064.088,0.745,27680
35.227,5586.944,5619.712,5091.76,0.792,27696
35.34,5586.944,5619.712,5119.452,0.838,27760
35.455,5586.944,5619.712,5147.144,0.884,27792
35.571,5586.944,5619.712,5174.836,0.931,27904
35.684,5586.944,5619.712,5202.528,0.978,27952
35.797,5586.944,5619.712,5230.22,1.025,27968
35.907,5341.184,5619.712,4787.876,0.276,27696
36.019,5341.184,5619.712,4815.568,0.323,27712
36.133,5341.184,5619.712,4843.26,0.37,27744
36.25,5341.184,5619.712,4870.928,0.415,27760
36.358,5341.184,5619.712,4898.62,0.461,27776
36.473,5341.184,5619.712,4926.312,0.507,27824
36.597,5341.184,5619.712,4954.004,0.554,27840
36.705,5341.184,5619.712,4981.696,0.601,27872
36.811,5341.184,5619.712,5009.368,0.648,27904
36.929,5586.944,5619.712,5037.064,0.695,27888
37.043,5586.944,5619.712,5064.756,0.742,27920
37.154,5586.944,5619.712,5092.448,0.789,27936
37.268,5586.944,5619.712,5120.12,0.836,27968
37.382,5586.944,5619.712,5147.812,0.882,28000
37.491,5586.944,5619.712,5175.504,0.929,28032
37.604,5586.944,5619.712,5203.196,0.976,28048
37.716,5341.184,5619.712,4785.88,1.023,27680
37.829,5341.184,5619.712,4813.572,0.277,27712
37.94,5341.184,5619.712,4841.264,0.324,27728
38.053,5341.184,5619.712,4868.936,0.37,27760
38.166,5341.184,5619.712,4896.608,0.416,27792
38.274,5341.184,5619.712,4924.28,0.463,27824
38.385,5341.184,5619.712,4951.952,0.509,27840
38.499,5341.184,5619.712,4979.644,0.556,27856
38.613,5341.184,5619.712,5007.316,0.603,27888
38.726,5586.944,5619.712,5035.072,0.65,27904
38.836,5586.944,5619.712,5062.744,0.696,27952
38.949,5586.944,5619.712,5090.416,0.743,27968
39.061,5586.944,5619.712,5118.088,0.79,28000
39.177,5586.944,5619.712,5145.76,0.836,28032
39.287,5586.944,5619.712,5173.432,0.882,28048
39.399,5586.944,5619.712,5201.124,0.929,28080
39.513,5341.184,5619.712,4769.224,0.976,28128
39.627,5341.184,5619.712,4796.896,0.278,27712
39.742,5341.184,5619.712,4824.568,0.325,27744
